GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
concesionario,es.iespuertodelacruz.concesionario.exception,ClienteException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.exception,PersonaException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.exception,VehiculoException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.exception,DniException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.exception,PersistenciaException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.exception,EmpleadoException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.exception,DireccionException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.exception,BastidorException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.exception,VentaException,0,9,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.controlador,VentaController,0,175,0,26,0,46,0,23,0,10
concesionario,es.iespuertodelacruz.concesionario.controlador,VehiculoController,0,284,0,50,0,61,0,35,0,10
concesionario,es.iespuertodelacruz.concesionario.controlador,EmpleadoController,38,339,4,53,7,77,3,39,1,12
concesionario,es.iespuertodelacruz.concesionario.controlador,PersonaController,0,238,0,34,0,58,0,26,0,9
concesionario,es.iespuertodelacruz.concesionario.controlador,Validaciones,0,69,0,0,0,19,0,4,0,4
concesionario,es.iespuertodelacruz.concesionario.controlador,ClienteController,0,261,0,34,0,61,0,28,0,11
concesionario,es.iespuertodelacruz.concesionario.controlador,DireccionController,0,195,0,32,0,50,0,25,0,9
concesionario,es.iespuertodelacruz.concesionario.api,Cliente,0,35,0,0,0,9,0,5,0,5
concesionario,es.iespuertodelacruz.concesionario.api,Direccion,0,112,0,0,0,34,0,17,0,17
concesionario,es.iespuertodelacruz.concesionario.api,Vehiculo,0,189,0,0,0,55,0,27,0,27
concesionario,es.iespuertodelacruz.concesionario.api,Empleado,0,60,0,0,0,17,0,9,0,9
concesionario,es.iespuertodelacruz.concesionario.api,Venta,0,69,0,0,0,22,0,11,0,11
concesionario,es.iespuertodelacruz.concesionario.api,Persona,0,99,0,0,0,30,0,15,0,15
concesionario,es.iespuertodelacruz.concesionario.modelo,DireccionModelo,0,249,0,4,0,50,0,10,0,8
concesionario,es.iespuertodelacruz.concesionario.modelo,PersonaModelo,0,238,0,4,0,53,0,10,0,8
concesionario,es.iespuertodelacruz.concesionario.modelo,Bbdd,9,212,2,12,3,60,2,11,0,6
concesionario,es.iespuertodelacruz.concesionario.modelo,ClienteModelo,0,212,0,4,0,50,0,10,0,8
concesionario,es.iespuertodelacruz.concesionario.modelo,VentaModelo,7,268,0,6,2,61,0,13,0,10
concesionario,es.iespuertodelacruz.concesionario.modelo,Fichero,0,67,0,6,0,19,0,6,0,3
concesionario,es.iespuertodelacruz.concesionario.modelo,SqliteBbdd,0,18,0,0,0,4,0,2,0,2
concesionario,es.iespuertodelacruz.concesionario.modelo,VehiculoModelo,0,324,0,4,0,59,0,10,0,8
concesionario,es.iespuertodelacruz.concesionario.modelo,EmpleadoModelo,0,242,0,4,0,55,0,10,0,8
concesionario,es.iespuertodelacruz.concesionario.vista,VistaApp,929,145,65,10,335,46,58,11,12,7
